SN_name,Fe_v_day50,d_Fe_v_day50
1986L,4406,411
1990K,3942,204
1991al,4982,548
1992ba,3464,483
1993K,4390,218
1993S,4943,300
1999br,1746,305
1999ca,5191,257
1999cr,3655,212
1999em,3464,365
S0210,4998,326
2002fa,4133,260
2002gd,2448,236
2002gw,3623,357
2002hj,4192,405
2002hx,3806,284
2003B,3509,251
2003bl,2093,190
2003bn,3612,530
2003ci,3677,183
2003cn,2699,197
2003cx,4788,420
2003ef,4116,516
2003eg,4727,456
2003ej,4381,405
2003fb,3819,722
2003hd,4025,289
2003hk,4161,207
2003hl,3819,402
2003hn,3484,379
2003ho,3989,198
2003ip,4536,309
2003iq,4329,216
2003T,3896,276
2004ej,3301,221
2004er,5219,436
2004fb,4178,300
2004fc,3581,256
2004fx,2786,401
2005an,4011,303
2005dk,4603,306
2005dn,4712,434
2005dz,4101,310
2005J,4224,437
2005Z,5196,411
2006ai,4623,340
2006be,3690,722
2006ee,3024,255
2006iw,4148,722
2006qr,3643,200
2006Y,5076,546
2007aa,3148,396
2007ab,4776,237
2007av,3847,191
2007hm,4403,515
2007il,4282,383
2007ld,3589,350
2007oc,3694,343
2007od,3863,300
2007sq,5350,265
2007U,5439,550
2007W,2437,454
2007X,4619,762
2008ag,3939,311
2008aw,4532,654
2008bh,4189,637
2008bk,2910,460
2008bm,1277,64
2008br,1633,218
2008ga,3253,757
2008gr,5013,249
2008H,3738,350
2008if,4758,398
2008in,2831,455
2008K,5359,437
2008M,3647,458
2008W,3846,297
2009aj,2849,315
2009ao,3597,210
2009au,1474,175
2009bu,4034,456
2009N,2600,439
