,line,absorption_mean_velocity,absorption_std_velocity,emission_mean_velocity,emission_std_velocity,t_from_discovery,name
0,Halpha,15564.632556659515,1.8189894035458565e-12,2903.0058793142807,38.31114649516575,23.11594833744728,SN2018hmx
0,Hbeta,9543.675120301943,44.09839357012752,2233.677966266744,334.0262018236621,23.11594833744728,SN2018hmx
0,FeII 5169,7559.902397410685,110.2753596192023,-3360.3015321230623,93.3106252403509,23.11594833744728,SN2018hmx
0,Halpha,13072.34539001845,38.289409615168715,2419.8343716000804,35.726290367886754,33.62318743496286,SN2018hmx
0,Hbeta,8967.00784331268,54.926760193620794,338.94592751864013,147.20044526260742,33.62318743496286,SN2018hmx
0,FeII 5169,7290.868934669442,71.55927560878624,,,33.62318743496286,SN2018hmx
0,Halpha,12094.714367441213,24.903030062613652,2167.1749014335574,38.12889110472773,39.42231195749807,SN2018hmx
0,Hbeta,9616.901190387343,50.548375074017386,1516.5558032895215,187.353535202633,39.42231195749807,SN2018hmx
0,FeII 5169,6129.727464421393,64.14512577864916,-17673.85256343504,43.12659259681459,39.42231195749807,SN2018hmx
0,Halpha,11665.456936971452,40.55520557696593,1688.5891488253114,23.275339295682215,45.210811100260734,SN2018hmx
0,Hbeta,9328.587507088087,33.039366233428154,-1650.6869225445112,450.8060250053366,45.210811100260734,SN2018hmx
0,FeII 5169,5918.391078676219,54.5335058343482,-17116.36310181932,60.6091067485698,45.210811100260734,SN2018hmx
0,Halpha,11602.90411467381,40.53984887268695,1623.0319411956202,31.006536172315375,45.30226525948486,SN2018hmx
0,Hbeta,9522.989240326178,55.11458853117074,-914.7689293771975,231.273616127564,45.30226525948486,SN2018hmx
0,FeII 5169,6159.807604345391,54.615117472446705,-17159.417648936713,0.0,45.30226525948486,SN2018hmx
0,Halpha,11563.643792818917,40.526518225431424,1585.9667707951944,49.02259796850972,47.01488222765199,SN2018hmx
0,Hbeta,9506.864500219172,1.8189894035458565e-12,-2383.8995368320225,412.8304724221057,47.01488222765199,SN2018hmx
0,FeII 5169,5992.300003351111,30.385271267496954,-17225.160314398083,25.946810796148206,47.01488222765199,SN2018hmx
0,Halpha,10905.789692417948,32.96051857914135,1239.0007146114963,23.207140404244797,56.867176059744864,SN2018hmx
0,Hbeta,9235.053666029127,0.0,-2554.929845674532,434.2971182252832,56.867176059744864,SN2018hmx
0,FeII 5169,5305.864294444202,49.411401375739786,-17649.847153693037,43.129854568702285,56.867176059744864,SN2018hmx
0,Halpha,10647.407347488312,44.28619494857164,982.6723021660786,30.873550310872318,64.39792492589487,SN2018hmx
0,Hbeta,8170.335350534256,148.57859691765245,146.60243454846847,142.50467270692894,64.39792492589487,SN2018hmx
0,FeII 5169,4574.151470082448,50.183034392824084,-17988.272014384478,77.44705855084925,64.39792492589487,SN2018hmx
0,Halpha,10100.290670710947,40.153875885940224,689.9729369852419,30.830956279046042,83.85768241681008,SN2018hmx
0,Hbeta,8168.58666362855,72.51820705754987,-2008.1490125223518,124.7234661962793,83.85768241681008,SN2018hmx
0,FeII 5169,4386.446055181771,49.11797614008561,-18240.494711477248,113.97212191016031,83.85768241681008,SN2018hmx
0,Halpha,9989.730755315597,0.0,663.7949197138535,37.74267679079376,94.40866191651432,SN2018hmx
0,Hbeta,7120.097602024092,72.00684068651094,-3714.9352465583993,763.7769869456097,94.40866191651432,SN2018hmx
0,FeII 5169,4245.158006431366,9.094947017729282e-13,-19325.913886828832,368.4891653468694,94.40866191651432,SN2018hmx
0,Halpha,9596.867134525117,24.511221579935956,-34.92683743520508,37.567245421118805,106.86049055309901,SN2018hmx
0,Hbeta,7239.1402748863375,49.764524362596475,-3554.259298179829,251.95154540623125,106.86049055309901,SN2018hmx
0,FeII 5169,3677.1785724853858,63.88716375797809,-18707.544382905053,25.687791108405147,106.86049055309901,SN2018hmx
0,Halpha,7941.740508989203,9.094947017729282e-13,-280.06237623360755,175.7186245959339,195.25554484086922,SN2018hmx
0,Hbeta,5441.123987366077,184.65431457190599,-3243.273626027655,466.6391571581096,195.25554484086922,SN2018hmx
0,FeII 5169,3981.3458510158516,0.0,-16676.77443757569,244.4444705348132,195.25554484086922,SN2018hmx
0,Halpha,18478.774527041296,0.0,2789.1813709825537,0.0,19.043157790969833,SN2018hmx
0,Hbeta,10116.881141665986,0.0,3754.9780663866477,0.0,19.043157790969833,SN2018hmx
0,FeII 5169,4245.726881347468,9.094947017729282e-13,-103.26489060745953,1.4210854715202004e-14,19.043157790969833,SN2018hmx
